Sentence,"silang - [1: 'sílang', 0: 'siláng']"
May nakita raw silang mga tikbalang!,0
May nakita raw silang tikbalang!,0
May nakita silang daga.,0
Mayroon silang isang oras.,0
Mayroon silang kanser.,0
Mukha silang europeo.,0
Mukha silang malusog.,0
Mukhang masaya silang lahat.,0
Nabisto ko silang naghahalikan.,0
Nag-uunahan silang makatuklas ng lunas sa kanser.,0
Nagdesisyon silang magpakasal.,0
Nagkasundo silang magkaroon ng tigil-putukan.,0
Nagmukmok silang magdamag.,0
"Nagpagupit ka ba? ""Hindi, pinagupit ko silang lahat.""",0
Nagpasya silang magpakasal.,0
Nagpuyat silang leyt nang nagdadaldalan.,0
Nagsalita silang nagkakape.,0
Nagsilang ang baka ng isang bulong dalawa ang ulo.,1
Nagsilang ang baka ng isang bulong may dalawang ulo.,1
Nagsilang ng daga ang bundok.,1
Nagsimula silang magpaputok.,0
Nagsimula silang mamaril.,0
Nagsinungaling silang nakarating na sila sa buwan.,0
Nagtangka silang tumakas.,0
Nahihirapan silang maghuntahan sa mga Taga-Kanluran.,0
Nahihirapan silang umintindi ng Budismo.,0
Nahuli ko silang naghahalikan.,0
"Nakakailang pumasok sa bahay na iyon, kasi may tampo silang lahat sa isa't-isa.",0
Nakakaintindi ba silang dalawa ng Pranses?,0
Nakakulambo silang magdamag sa gabi.,0
Nakita mo ba silang sumakay?,0
Nakita namin silang umalis.,0
Nakita natin silang umalis.,0
Nalulungkot akong isang buong buwan ko silang hindi nakikita.,0
Nalunod silang lahat.,0
Nanatili silang sabay nang isa pang araw.,0
"Nang makita ko sina Tom at Maria, agad ko silang nakilala.",0
"Nang pagbalik niya galing sa trabaho, nasa bahay ang asawa niya at puwede silang kumain nang kasabay.",0
Naniwala silang ang pagkakataong iyon ay magiging iba; na ang kanilang mga boses ay ang kaibhan.,0
Napilitan silang umatras.,0
Narinig ko silang nagdedebate.,0
"Narinig nila ang mga daing namin, pero wala naman silang ginawa.",0
Nasa taas silang lahat.,0
"Natatakot silang nasa labas ng bahay, dahil kapag nakikita nila ang kalikasan—ang mga puno, ang langit, ang ulap, at iba pa—nararamdaman nila ang ""tunay"" na diyos.",0
Natutunan ko silang pagkatiwalaan.,0
Ngunit tao silang lahat.,0
"Noong nalugi ang kanilang negosyo, nagsimula silang magbenta ng sasakyan.",0
"Noong nasa Tokyo ako, may maraming Taga-Irang nagtratrabaho sa konstruksiyon doon. Madalas silang magsama-sama sa parke, at may malaking balde sila ng tsaa para sa lahat nila.",0
"Paggising sa umaga, nanumpa sila sa isa't-isa: at mapayapa silang pinaalis ni Isaac patungo sa kanilang bahay.",0
"Paggising sa umaga, nanumpa sila sa isa't-isa: at mapayapa silang pinaalis ni Isaac patungo sa kanilang tahanan.",0
"Paggising sa umaga, nanumpa sila sa isa't-isa: at mapayapa silang pinaalis ni Isaac patungo sa kanilang tirahan.",0
"Pagkatapos ng mahabang diskusyon, may naisip silang plano.",0
"Pagkatapos ng mahabang pag-uusap, may naisip silang plano.",0
"Pagkatapos ng mahabang talakayan, may naisip silang plano.",0
Pagod na pagod sila dahil dalawang araw na silang nagtatrabaho nang dere-deretso.,0
Palagi silang nag-aaway sa mga maliliit na bagay.,0
Palagi silang nag-aawayan.,0
Palagi silang nagbabangayan.,0
Palagi silang nagkokodswits at hindi bagay sa kanila.,0
Palagi silang tinutukso ng mga kaklase nila.,0
Para silang Igorot.,0
Para silang karpintero. Lagari nang lagari.,0
Para silang matsing na walang balahibo.,0
Para silang pinagbiyak na bunga ng kuya niya.,0
"Parati na lamang silang ""Tom"" nang ""Tom."" Sino ba siya?",0
Parati silang nakasimangot.,0
Parehas silang nanggagaling sa parehong bansa.,0
Pareho ko silang hinahangaan.,0
Pareho silang gusto ni Tom.,0
Pareho silang mahilig sa isport.,0
"Pareho silang manhid, kaya hindi nila napapansin kapag may nasasaktan na silang iba.",0
Pareho silang may suot na uniporme.,0
Pareho silang may suot-suot na uniporme.,0
Pareho silang nagbatuhan ng mga bote.,0
Pareho silang nakahubad.,0
Pareho silang nakasuot ng uniporme.,0
Pareho silang nakauniporme.,0
Parehong oras silang dumating sa Paris.,0
Pinagbawalan silang umalis ng otel.,0
Pumunta kami ng pamilyang Ogasawara sa Bundok Fuji. Sayang at di ko dinala ang kamera ko. Mayroon silang ikalawang bahay sa bukid. May malapit na publikong paliguan.,0
Pumunta silang lahat doon.,0
Puwede ba silang magsalita nang mas dahan-dahan?,0
Puwede mo ba silang ilarawan?,0
Puwede mo silang pagkatiwalaan.,0
Puwede na silang pumasok ngayon.,0
Puwede silang maghintay dito.,0
Puwede silang maghintay sa akin dito.,0
Puwede silang pumarada rito.,0
"Sa tingin ko, maganda silang tingnan.",0
Sabay silang bumalik mula sa sinehan.,0
Sabay silang nag-umpisa.,0
Sama-sama silang nangolekta ng mga bulaklak.,0
"Sigaw ng Mama, ""Para silang bumbilya!"" Ang isip niya'y ang tao'y walang kabilang buhay pagka namatay na, parang pundidong bumbilya.",0
"Sina Ken at Meg, pareho ko silang kaibigan.",0
Sinabi ko sayong wag silang kausapin.,0
Sinabi nilang mahusay daw silang lumangoy.,0
Sinasabi nilang masarap silang magluto.,0
Sinenyasan niya silang tumigil.,0
"Sospetsa ko , wala na silang lahat.",0
"Sospetsa ko, wala na silang lahat.",0
Sumisigaw silang lahat.,0
Taga-Canada silang dalawa.,0
Takot sila sa mga puno dahil mas mahaba ang buhay nila at wala silang ginagawa.,0
Takot silang lumalagpak ang mga dilaw na dahon sa kalye mismo nila.,0
Tumanggi silang tumulong sa amin.,0
Tumanggi silang tumulong sa atin.,0
Wala na silang asukal.,0
Wala na silang ganang kumain ng mansanas.,0
Wala silang alam dito.,0
Wala silang alam diyan.,0
Wala silang alam doon.,0
Wala silang alternatibong pagkukunan ng enerhiya.,0
"Wala silang balbas, buhok ni kilay.",0
Wala silang hiningi sa inyo.,0
Wala silang ibang kamag-anak.,0
Wala silang ideya kung sino ang pumatay.,0
Wala silang inalok sa akin na inumin.,0
Wala silang inalok sa akin na maiinom.,0
Wala silang karapatan sa ari-arian.,0
Wala silang kinalaman sa isa't isa.,0
Wala silang kotse.,0
Wala silang laman.,0
Wala silang magawa.,0
Wala silang matitirhan.,0
Wala silang mga gamot.,0
Wala silang naisalba maliban sa iilang kagamitan.,0
Wala silang naisalba maliban sa kakaunting mga kagamitan.,0
Wala silang nakitang mga elepanteng anim ang paa.,0
Wala silang nalalaman dito.,0
Wala silang nalalaman diyan.,0
Wala silang nalalaman doon.,0
Wala silang napansing kahina-hinala.,0
Wala silang pakialam sa daing ng mga tao.,0
Wala silang relihiyon.,0
Wala silang saksi sa krimen.,0
Wala silang sapat na pera.,0
Wala silang sinulat.,0
Wala silang tiwala sa mga tao.,0
Wala silang tiwala sa sangkatauhan ng daigdig na ito.,0
Wala silang tsoys kundi umalis.,0
Wala silang ugnayan.,0
Walang may alam ng nararamdaman ng mga bagong silang.,1
Walang nakakaalam ng nararamdaman ng mga bagong silang.,1
