Sentence,"puno - [0: 'punò', 1: 'punô']"
Papalipatin si Tom sa punong tanggapan sa Boston.,0
Pinamumugaran ng mga ibon ang mga puno.,0
Pinatumba niya ang malaking puno gamit ang isang palakol.,0
Pinili ni Koko ang puno.,0
Pinupuno ni Tom ang dispensero ng sabon ng likidong sabon.,1
Pinutol ang puno ng oak.,0
Pinutol ni Tom ang punong nasa bakuran namin sa harapan.,0
Pinutol ni Tom ang punong nasa bakuran natin sa harapan.,0
Pula ang mga dahon ng mga puno roon.,0
Pula at kayumanggi ang mga dahon ng mga puno roon.,0
Pula at narangha ang mga dahon ng mga puno roon.,0
"Pula, narangha, at kayumanggi ang mga dahon ng mga puno rito.",0
"Pula, narangha, at kayumanggi ang mga dahon ng mga puno roon.",0
"Pula, narangha, at kayumanggi ang mga dahon ng mga puno sa daan.",0
"Pula, narangha, at kayumanggi ang mga dahon ng mga puno sa malaking parke.",0
"Pula, narangha, at kayumanggi ang mga dahon ng mga puno sa maliit na parke.",0
"Pula, narangha, at kayumanggi ang mga dahon ng mga puno sa parke.",0
"Pula, narangha, at kayumanggi ang mga dahon ng mga puno sa tabi ng eskuwela.",0
Punong-puno ako ng galak.,1
Punong-puno ang bulwagan.,1
Punong-puno ang kalye ng mga batang magkarelasyon.,1
Punong-puno ang liwasan ng mga taong may kasamang bata.,1
Punong-puno ang parke ng mga taong may kasamang bata.,1
Punong-puno na ako sa iyo!,1
Punong-puno ng alikabok ang bahay.,1
Punong-puno ng bulaklak ang hardin.,1
Punong-puno ng luha ang mga mata niya.,1
Punong-puno ng mga muwebles ang kuwarto.,1
Punong-puno ng mga muwebles ang silid.,1
Punong-puno ng tubig at putik ang mga bahay.,1
Punung-puno ang drawer ng kung anu-ano.,1
Puputulin ko ang punong ito.,0
"Sa gabi, yumuyugyog ang mga puno at may mga paniki sa langit.",0
Sa gitna ng parke may isang malaking puno.,0
Sa gubat ng Wagalang ay mga puno ng sinag-bunga.,0
Sa hardin may tumubong puno ng tseri.,0
Sa likod ng bahay nila ay may puno ng kamyas.,0
Sa puno lumalaki ang mansanas.,0
"Sa tuwing nagsusuot ako ng puting pang-itaas, palagi itong napupuno ng mantsa.",1
May mga dalang sakong puno ng mga gulay ang kuya ko.,1
Saan ka nagpuputol ng puno?,0
Sampung metro ang taas ng malaking punong iyan.,0
Sansinukob na anak kang hindi bawas ng mga puno at mga bituin; may karapatan kang narito ka.,0
Sariwang bunga itong diretsong galing sa puno.,0
Sila ang nagtanim ng mga puno.,0
Sila ay may isang buslong puno ng mansanas.,1
"Sori , puno na kami ngayon.",1
Sumasayaw sa hangin ang mga puno.,0
Sumilong ako sa ilalim ng isang puno.,0
Sumilong kami mula sa ulan sa ilalim ng isang puno.,0
Sumilong kami sa ilalim ng puno.,0
Sumilong tayo mula sa ulan sa ilalim ng isang puno.,0
Sumilong tayo sa ilalim ng puno.,0
Sumulat ang mga mag-aaral ng sulatroniko para humingi ng pahintulot sa kanilang punong-guro.,0
Takot sila sa mga puno dahil mas mahaba ang buhay nila at wala silang ginagawa.,0
Tinadtad ang mga puno – hindi lahat – sa katabi ng daan.,0
Tinanim nila itong mga puno.,0
Tingnan mo kung gaano karaming mangga ang bumubunga sa punong iyan.,0
Tumakbo ang asong palibut-libot ng puno.,0
Tutubo uli ang mga punong ito.,0
Umaakyat ng mga puno ang mga unggoy.,0
Umaawit ang mga ibon sa mga puno.,0
Umakyat nang puno ang kulay-rosas na iskuwirel.,0
Umakyat siya ng puno nang maigi.,0
Uminom siya ng berdeng tsa sa hardin niyang puno ng gumamela.,1
Umupo si Tom sa ilalim ng puno.,0
Umupo sila sa lilim ng malaking punong iyon.,0
Walang banyo rito. Umihi ka sa likod ng punong iyan mismo.,0
