Sentence,"bukas - [0: 'búkas', 1:'bukás']",,
Babalik siya bukas o sa makalawa.,0,,He will return tomorrow or later.
Babalik siya bukas.,0,,He will come back tomorrow.
Baka ang sibilisasyon sa kinabukasan ay para sa mga tao-tauhan at di makatao.,0,,Maybe civilization in the future is for people who are human and inhuman.
Baka hindi siya pumunta rito bukas.,0,,Maybe he won't come here tomorrow.
Baka mag-aral ng pranses si Tom bukas.,0,,Tom might study French tomorrow.
Baka makapunta ako bukas.,0,,Maybe I'll go tomorrow.
Baka makatulong ako sa inyo bukas.,0,,I might help you tomorrow.
Baka makatulong ako sa iyo bukas.,0,,I might help you tomorrow.
Baka matulungan kita bukas.,0,,Maybe I'll help you tomorrow.
Baka matulungan ko kayo bukas.,0,,I might help you tomorrow.
Baka pumunta ako bukas.,0,,Maybe I'll go tomorrow.
Baka pumunta siya bukas.,0,,Maybe he'll go tomorrow.
Baka sakaling pumunta siya bukas.,0,,Maybe he'll go tomorrow.
Balak naming ianunsyo bukas ang mga detalye tungkol sa aming plano.,0,,We intend to announce the details about our plan.
Bibisitahin ko ang nanay sa ospital bukas.,0,,I'll visit the mother in the hospital tomorrow.
"Bibisitahin tayo bukas ng isang kaibigan mula sa Oregon, si G. Brown.",0,,"We will be visited tomorrow by a friend from Oregon, Mr. Brown."
Biyernes bukas.,0,,Friday tomorrow.
"Biyernes ngayon, kahapon ay Huwebes, bukas ay Sabado, pagkatapos ay Linggo.",0,,"Friday today, yesterday is Thursday, tomorrow is Saturday, then Sunday."
Bukas kami bukas.,0,,We're open tomorrow.
Bumalik ka ulit bukas.,0,,Come back tomorrow.
Buong taong bukas ang tindahan.,1,,The whole year is open.
"Dahil sa napakaganda ng panahon, pwede ba akong magbukas ng isang bintana?",1,,"Because of the wonderful weather, can I open a window?"
Dapat gawin iyan ni Tom bukas.,0,,Tom should do that tomorrow.
Dapat maghanda na siya para sa kinabukasan.,0,,He should be prepared for the future.
Dapat siguro hintayin mo muna hanggang bukas bago mo gawin iyan.,0,,You should probably wait until tomorrow before you do that.
Dapat siguro hintayin mo muna hanggang bukas bago mo gawin iyon.,0,,You should probably wait until tomorrow before you do that.
Dapat sigurong gawin ni Tom iyan bukas.,0,,Tom should be sure to do that tomorrow.
Dapat sigurong gawin ni Tom iyon bukas.,0,,Tom should be sure to do that tomorrow.
"Dati, bukas ang teatro nang sabado man.",1,,"Previously, the theater was open on Saturday."
Di ako pupunta sa paaralan bukas.,0,,I'm not going to school tomorrow.
Di ka pinupuwersang pumarini bukas.,0,,You are not allowed to go tomorrow.
Di ko alam kung uulan bukas.,0,,I don't know if it's raining tomorrow.
Di ko masisigurado kung narito siya bukas.,0,,I'm not sure if he's here tomorrow.
Gagawin ko ang trabaho bukas.,0,,I will do the job tomorrow.
Gagawin ko iyan bukas maliban na lang kung may mangyaring hindi inaasahan.,0,,I will do that tomorrow unless anyone does not expect.
Gagawin ko iyon bukas maliban na lang kung may mangyaring hindi inaasahan.,0,,I will do that tomorrow unless anyone does not expect.
Gawin 'nyo bukas.,0,,Do it tomorrow.
Gawin mo bukas.,0,,Do it tomorrow.
Gawin ninyo bukas.,0,,Do it tomorrow.
Ginagamit ang abrelata pambukas ng lata.,1,,Abrelata can be used opening cans.
Gisingin mo ako bukas ng maaga.,0,,You wake me up tomorrow early.
Gusto ko siyang makita bukas nang hapon.,0,,I want to see her tomorrow afternoon.
Gusto kong bumalik ka at makipagkita sa akin bukas.,0,,I want you to come back and meet me tomorrow.
Gusto kong dumalo ka bukas sa miting.,0,,I want you to attend tomorrow at the meeting.
Gusto kong dumalo ka sa miting bukas.,0,,I want you to attend the meeting tomorrow.
Gusto kong gamitin ang kotse mo bukas.,0,,I want to use your car tomorrow.
Gusto kong gamitin ang sasakyan mo bukas.,0,,I want to use your car tomorrow.
Gusto kong malaman kung libre ka bukas.,0,,I want to know if you're free tomorrow.
Gusto kong malaman kung magiging libre ka bukas.,0,,I want to know if you will be free tomorrow.
Gusto mo bang bumiyahe bukas?,0,,Do you want to travel tomorrow?
Handa na ba ang lahat para bukas?,0,,Is everything ready for tomorrow?
Hilahin mo ang tali at magbubukas ang pinto.,1,,Pull the strap and the door opens.
Hilahin ninyo ang tali at magbubukas ang pinto.,1,,Pull the strap and the door opens.
Hinanap niya ang singsing niya nang pawang bukas ang mata.,1,,He searched for his ring with open eyes.
Hindi `yan gagawin ni Tom bukas.,0,,Tom won't do that tomorrow.
Hindi ako makakapagtrabaho bukas.,0,,I can't work tomorrow.
Hindi ako makakapunta rito bukas.,0,,I can't come here tomorrow.
Hindi ako makakatulog kung nakabukas ang ilaw.,0,,I can't sleep if the light is on.
Hindi ako makakatulog nang nakabukas ang ilaw.,0,,I couldn't sleep when the light was on.
Hindi ako matutulog bukas.,0,,I can't sleep tomorrow.
Hindi ako naniniwalang uulan bukas.,0,,I do not believe it will rain tomorrow.
Hindi ako papasok bukas.,0,,I'm not coming in tomorrow.
Hindi ako pupunta sa klase bukas.,0,,I'm not going to class tomorrow.
Hindi ako puwedeng magtrabaho bukas.,0,,I can't work tomorrow.
Hindi alam ni Tom kung sasama sa kanya si Maria bukas o hindi.,0,,Tom didn't know if Mary would be with her tomorrow or not.
Hindi ba kayo pupunta bukas?,0,,Don't you go tomorrow?
Hindi bukas tuwing Lunes ang tindahan kung saan ako nagtatrabaho.,1,,The store where I work is not open every Monday.
Hindi bukas tuwing Lunes ang tindahang pinagtatrabahuan ko.,1,,The store I work with is not open every Monday.
Hindi ka ba pupunta bukas?,0,,Aren't you going tomorrow?
Hindi ko iiwanang bukas ang pinto.,1,,I will not leave the door open.
Hindi ko kayang magtrabaho bukas.,0,,I can't afford to work tomorrow.
Hindi ko masasabi kung uulan ba bukas.,0,,I can't tell if it's raining tomorrow.
Hindi ko pa kinakausap ang iba tungkol sa mga plano bara bukas.,0,,I haven't talked to others about the plans tomorrow.
Hindi ko pa nakakausap ang iba tungkol sa mga plano bara bukas.,0,,I have never talked to others about the plans tomorrow.
Hindi maglalaro ng tenis bukas ang mga babae.,0,,Women will not play tenis tomorrow.
"Hindi matalinong bumili ng napakaraming lata ng tuna, kung wala naman akong pambukas ng lata.",0,,"It is not wise to buy so many tuna cans, if I do not have a can."
Hindi nagbubukas ang museong ito tuwing Lunes.,1,,This museum does not open every Monday.
Hindi pa bukas ang tanggapan ng koreo.,1,,The mail office is not open yet.
Hindi pa nagbubukas ang tanggapan ng koreo.,1,,The office office has not yet opened.
Hindi sila dadating hanggang bukas.,0,,They will not come until tomorrow.
Hiniling ng ama nila na pumunta silang lahat sa bahay bukas.,0,,Their father asked them to go home tomorrow.
Huwag iwanan ang TV na nakabukas!,1,,Don't leave the TV open!
"Huwag kayong masyadong patriyotiko sa sarili ninyong wika, dahil marahil sa kinabukasan, gagawa ng ibang wika ang Artipisyal na Intelihensiya at isusubo sa mga tao.",0,,"Do not be too patriotic in your own language, because perhaps in the future, artificial intelligence will create a different language and make people happy."
Huwag mong ipabukas ang anong magagawa mo ngayong araw.,1,,Don't open up what you can do today.
Huwag mong kalimutan ang iyong ID upang makapasok ka sa konsyerto bukas.,0,,Don't forget your ID so you can enter the concert tomorrow.
Huwag na huwag mong ipagpapabukas ang kaya mo namang gawin sa makalawa.,1,,Never open what you can do for a while.
Huwebes bukas.,0,,Thursday tomorrow.
Iaanunsiyo bukas kung sino ang nagwagi sa eleksiyon.,0,,It will be announced tomorrow who is the winner of the election.
Iaanunsiyo bukas kung sino ang nanalo sa eleksiyon.,0,,It will be announced tomorrow who won the election.
Iaanunsiyo namin ang aming desisyon bukas.,0,,We will announce our decision tomorrow.
Iaanunsiyo natin ang ating desisyon bukas.,0,,We will announce our decision tomorrow.
Ibibigay ko sa iyo ang pera bukas.,0,,I will give you the money tomorrow.
Iinit ba muli bukas?,0,,Is it hot again tomorrow?
"Ika-13 ng Setyembre ng 2017 ngayon. May mga naniniwalang ang daan sa espasyo ay magiging teleportasyon. Imbis nang parang sasakyang lumilipad, teleportasyon ang iniisip nila. Si Dr. Michio Kaku, isang Amerikanong Hapong manunulat tungkol sa agham at sa kinabukasan, ay isa sa mga naniniwala sa teleportasyon.",0,,"September 13th of 2017 today. There are those who believe the road to space will be teleportation. Instead of being a flying vehicle, they were thinking about teleportation. Dr. Michio Kaku, an American afternoon writer about science and the future, is one of those who believe in teleportation."
"Ika-22 ng Enero ng 2021 ngayon. Hanga ako kay multibilyunaryong Elon Musk. Ang talagang pag-asa niya ay sa kinabukasang maging ""multiplanetaryang sibilisasyon"" ang katauhan at napananatili ang enerhiya ng ""mga mundo"" natin. Ang kinatatakutan ni Elon Musk at ng pisikong Stephen Hawking ay ang pagsulong ng Artipisyal na Intelihensiya o AI na baka malampasan ang intelihensiya ng tao. Baka maging obsoleto ang tao. Sana’y hindi naman.",0,,"January 22nd of 2021 today. I admire the Multibilyunary Elon Musk. His real hope is that in the future the personality becomes a ""multiplanenetary"" and maintains the energy of our ""worlds"". Elon Musk and the Physician Stephen Hawking are feared is the promotion of artificial intelligence or AI that may overcome human intelligence. Man may be obsoleto. Hope not."
"Ika-22 ng Enero ng 2021 ngayon. Sa kinabukasan, baka malampasan ng Artipisyal na Intelihensiya ang intelihensiya ng tao. Kung ganoon ang mangyari, mag-iiba talaga ang sitwasyon ng katauhan. Sana’y di alipin ang tao, at magsilbi ang makina. Puwede rin ngang ang makina ang magdikta. Baka magdikta kung anong mga wika ang gagamitin. Baka artipisyal pa. Gawa ng makina.",0,,"January 22nd of 2021 today. In the future, artificial intelligence may overcome human intelligence. If that is the case, the situation of humanity will change. Hope the man is not a slave, and the machine serves. The machine can also dictate. It may dictate what languages ​​to use. Maybe it's artificial. Machine work."
"Ika-24 ng Hulyo ng 2017 ngayon. Kung isipin ang ibang sibilisasyon o kabihasnan sa ibang daigdig, o kaya ang ating sariling kabihasnan sa Tiyera, maraming futurista ay ipinilalagay na dumadami parati ang tao. Pero may mga proyeksiyon ang iba na bababa ang total na populasyon ng tao sa mundo sa kinabukasang ilang dekada. Kung mas edukado ang tao, mas gusto nilang kaunti ang anak. Kaya, tatanda ang karamihan ng tao, at magiging kaunti ang mga bata sa proporsiyon. Sa kinabukasang ilang siglo, baka mas mababa ang total na populasyon kaysa sa ngayon. Ano ang magiging epekto? Mas berde ba ang kinabukasan?",0,,"July 24, 2017 today. To think of other civilizations or civilizations in another world, or our own civilization in Tiyera, many futurists are assumed that people are increasing. However, some have projects that will decrease the total human population in the world in the next few decades. The more educated the person is, the more they prefer the child. So, the crowd will grow old, and the children will be small in proportion. In the early centuries, the total population may be lower than it is today. What would be the effect? Is the future more green?"
Ikakasal ang pamangkin ko bukas.,0,,My nephew will get married tomorrow.
Ikaw ba ang nag-iwan ng pinto na nakabukas kagabi?,1,,Did you leave the door open last night?
Iniwan mong nakabukas ang pintuan.,1,,You left the door open.
Iniwan nilang nakabukas ang bintana.,1,,They left the window open.
"Iniwanan ni Tom na nakabukas ang pinto ng ref, kaya ko isinara.",1,,"Tom left the refrigerator open, so I closed it."
Iniwanan pong bukas ang lagusan.,1,,The tunnel is left open.
Iniwanan pong nakabukas ang lagusan.,1,,It left the tunnel open.
Iniwanan pong nakabukas ni Tom ang pinto ng ref.,1,,Tom left the refrigerator door open.
Iniwanang bukas ang lagusan.,1,,The tunnel is left open.
Iniwanang nakabukas ang lagusan.,1,,The tunnel was left open.
Iniwanang nakabukas ni Tom ang pinto ng ref.,1,,Tom left the refrigerator door open.
Ipadadala nang koreo ang sulat bukas.,0,,The letter will be sent tomorrow.
Ipapahayag bukas kung sino ang nagwagi sa eleksiyon.,0,,It will be announced tomorrow who is the winner of the election.
Ipapahayag bukas kung sino ang nanalo sa eleksiyon.,0,,It will be announced tomorrow who wins the election.
Isang buong linggo na pong nag-uuulan simula bukas.,0,,It's been a whole week since tomorrow.
Isang buong linggo nang nag-uuulan simula bukas.,0,,It's been a whole week since tomorrow.
Isang linggo na pong nag-uuulan simula bukas.,0,,It's been a week since tomorrow.
Isang linggo nang nag-uuulan simula bukas.,0,,It's been a week since tomorrow.
Isinusulat ko ang aking talumpati para bukas.,0,,I write my speech for tomorrow.
Isipin mo ang kinabukasan mo!,0,,Think of your future!
Itigil muna natin dito at ipagpatuloy natin bukas.,0,,Let's stop here first and let's continue tomorrow.
Ito ang kinabukasang hangad ng mga liberal.,0,,This is the future of the liberals.
Ito ang kinabukasang hinahangad ng mga liberal.,0,,This is the future that the liberals seek.
"Itong mga araw, iniisip ko ang maaaring kinabukasan ng sangkatauhan. Sasakupin ba tayo ng mga makinang mas matalino sa atin? O kaya, magiging bagong alipin ang makina? Sino ang magiging amo, at sino ang alipin?",0,,"These days, I think of the future of mankind. Will the intelligent machines will cover us? Or, will the machine be a new slave? Who will be the boss, and who is the slave?"
"Kaarawan ko bukas, at magiging 17 na ako.",0,,"It's my birthday tomorrow, and I'll be 17."
"Kahapon ngayon ay bukas pa, pero bukas ngayon ay kahapon na.",0,,"Yesterday is still open, but tomorrow is yesterday."
Kailan magbubukas ang koreo?,1,,When will the mail open?
"Kailangan kong bumangon nang maaga bukas, kaya plano kong matulog nang maaga mamayang gabi.",0,,"I have to get up early tomorrow, so I plan to go to bed early tonight."
Kailangan kong gumising nang maaga bukas; pwede mo akong tawagan alas seis?,0,,I need to wake up early tomorrow; can you call me seis?
Kailangan kong pumunta bukas.,0,,I have to go tomorrow.
Kailangan mong gumising nang maaga bukas.,0,,You need to wake up early tomorrow.
Kailangan naming gumising nang maaga bukas.,0,,We need to wake up early tomorrow.
Kailangan nating gumising nang maaga bukas.,0,,We need to wake up early tomorrow.
Kailangan niyang pumunta roon bukas.,0,,He needs to go there tomorrow.
Kulay-rosas daw ang bukas. Totoo ba iyon?,1,,The pink is open. Is that true?
Kung bukas kaya?,1,,If tomorrow is it open?
"Kung luluwas ka ngayon din, bukas nang gabi ay nasa Boston ka na.",0,,"If you are leaving now, tomorrow night you are in Boston."
"Kung maganda bukas, magpipiknik tayo.",0,,"If it's good tomorrow, let's picnic."
"Kung may Makina ng Oras ka, pupunta ka ba sa nakaraan o sa kinabukasan?",0,,"If you have a time machine, will you go to the past or the future?"
"Kung puwede bukas, maglalayag ako kasama ng mga kaibigan ko.",0,,"If it could be tomorrow, I would sail with my friends."
"Kung umulan bukas, nasa bahay na lamang ako.",0,,"When it rains tomorrow, I'm just home."
"Kung uulan bukas, hindi ako pupunta.",0,,"If it rains tomorrow, I won't go."
"Kung walang agham, walang kinabukasan.",0,,"Without science, there is no future."
"Kung walang mangyayaring hindi inaasahan, makikita na kita bukas.",0,,"If no one is unexpected, I'll see you tomorrow."
Labing-isang oras na akong nag-aaral para sa pagsusulit ko bukas.,0,,I have been studying for eleven hours for my exam tomorrow.
"Lalangoy siya bukas? ""Oo.""",0,,"Will he swim tomorrow? ""Yes."""
Libre siya bukas.,0,,He is free tomorrow.
Lunes ba bukas?,0,,Monday tomorrow?
Maaari akong mamatay bukas.,0,,I can die tomorrow.
Maaari ba kitang makita bukas?,0,,Can I see you tomorrow?
Maaasahan mo ako bukas.,0,,You can expect me tomorrow.
Maaga akong aalis bukas.,0,,I'll leave early tomorrow.
Madalas ganitong oras nagbubukas ang teatro.,1,,Often this time the theater opens.
Mag-iipon na simula bukas!,0,,It will gather starting tomorrow!
Mag-uusap kami bukas.,0,,We'll talk tomorrow.
Mag-uusap tayo bukas.,0,,Let's talk tomorrow.
Magaling ang ideya niya tungkol sa kinabukasan.,0,,He had a great idea about the future.
Maganda sana kung lumiwanag bukas.,0,,It would be nice to shine tomorrow.
Magbubukas ang bagong museo sa susunod na Lunes.,1,,The new museum will open next Monday.
Magbubukas ang bagong tindahan sa susunod na linggo.,1,,The new store will open next week.
Magbubukas ang mga pinto sa kaliwa.,1,,The doors will open left.
Magbubukas ang rehistrasyon sa ika-dalawampu ng Oktubre.,1,,The registration will open on October twentieth.
Magiging mainit bukas.,0,,It will be hot tomorrow.
Magiging mas mainit pa bukas.,0,,It will be even hotter tomorrow.
Magiging mas malamig bukas.,0,,It will be colder tomorrow.
Magkikita naman tayo bukas.,0,,We will meet tomorrow.
Magkikita tayo bukas.,0,,We will meet tomorrow.
Magkikita tayo uli bukas.,0,,We will meet again tomorrow.
Magkita-kita na lang tayo bukas.,0,,Let's see each other tomorrow.
Magluluto ang tatay ko ng isang masarap na pagkain bukas nang umaga.,0,,My dad will cook a delicious meal tomorrow morning.
Magpapakasal ang pamangkin ko bukas.,0,,My nephew will get married tomorrow.
Magsisimula ang totoong gawain bukas.,0,,The real work will start tomorrow.
Magsisimula bukas ang aking pagsubok.,0,,My test will start tomorrow.
Magtatrabaho kami bukas.,0,,We will work tomorrow.
Magtatrabaho tayo bukas.,0,,We will work tomorrow.
Magtitipid na simula bukas!,0,,Save starting tomorrow!
Makakadating ka ba sa miting bukas?,0,,Will you come to the meeting tomorrow?
Makakapunta ba sila bukas?,0,,Will they go tomorrow?
Makakapunta ka ba sa miting bukas?,0,,Can you go to the meeting tomorrow?
Makakarating ba sila bukas?,0,,Will they come tomorrow?
Makikita ba kita bukas?,0,,Will I see you tomorrow?
Makikita ko ba kayo bukas?,0,,Will I see you tomorrow?
Makikita natin siya bukas sa harap ng istasyon.,0,,We will see him tomorrow in front of the station.
Malamang uulan bukas.,0,,It is likely to rain tomorrow.
Malamang uulan ng niyebe bukas.,0,,It is likely to be snowy tomorrow.
Mangangaso ako bukas nang umaga. Gusto 'nyo bang sumama sa akin?,0,,I will hunt tomorrow morning. Do you want to come with me?
Mangangaso ako bukas nang umaga. Gusto ba ninyong sumama sa akin?,0,,I will hunt tomorrow morning. Do you want to come with me?
Mangangaso ako bukas nang umaga. Gusto mo bang sumama sa akin?,0,,I will hunt tomorrow morning. Do you want to come with me?
Marami ka bang gagawin bukas ng gabi?,0,,Do you have a lot to do tomorrow at night?
"Maraming teleserye at pelikulang siyensiyang piksiyon tungkol sa kinabukasan ay walang Kristiyanismo. Wala nang mga Pasko o Pasko ng Pagkabuhay o iba pa. Pero may isang teleseryeng siyensiyang piksiyon na pinapalabas ang Kristiyanismo sa kinabukasan, at ito ay Babylon 5 na interestelar. Ang dahilan yata nang nawawala ay dahil ang tingin ng mga tagalikha ay kalimitang kontra sa Siyensiya ang Kristiyanismo. Sa isip ko naman, baka nga hindi mawawala ang Kristiyanismo, at ito ay parte ng ebolusyon ng lipunang mas abansado sa teknolohiya, bilang sa espasyo at sa iba pa.",0,,"Many teleseryes and films of science science about the future have no Christianity. No more Christmas or Easter or other. But there is a telescope science that is being released by Christianity in the future, and it is Babylon 5 Interestlar. The reason for the disappearance is because the creators think Christianity is often against science. In my mind, Christianity may not be lost, and it is part of the evolution of society more technology, as space and others."
"Martes ngayon, ano ang araw bukas?",0,,"Tuesday today, what's the day tomorrow?"
Mas maganda bang gawin iyan ngayon o bukas?,0,,Is it better to do that today or tomorrow?
"Masyado palang mainit ngayon para sa aking nakadyaket na berdeng mukhang militar na may pantakip sa ulo. Ngayon ay ika-16 ng Setyembre ng 2023 na rito sa Isla Lulu. Suot ko ang aking tisyort na asul na may imahen ni Chewbacca. May kulay-abong touque ako at maitim na kulay-abong korto. Sa umaga at tanghali ako nasa pizzeria. Naroon si Simar at si Bal, parehong Taga-Indiyang tindero. Sa tanghali, may malaking lalaking muskuladong nakaputing tisyort at berdeng kamuplaheng militar na korto. Nagpizza siya sa regular na puwesto ko sa mesa sa labas sa harap ng bintana. Mukha siyang Italyano. Sa bahay, nagbabasa ako ng Kastilang nobelang El eterno regreso a casa ni Ursula Le Guin, tungkol sa libu-libong taon pang kinabukasan sa Norteng California, kung saan ang tao ay naninirahang parang mga Amerindiyo. Sa tema ng araw, may 16 na regla ang basikong gramatika ng Esperanto.",0,,"It's too hot right now for my shaved green -like military with a head covering. Today is September 16th of 2023 here on Isla Lulu. I was wearing my blue tissue with Chewbacca's image. I have a gray touque and a dark gray curtain. In the morning and noon I was in pizzeria. Simar and Bal were there, both of the Indian salesman. At noon, there was a large man in a white tissue and a green military korto military. He picked up my regular seat at the table outside the window. She looks Italian. At home, I read the Spanish novel El Eterno Regrees a casa by Ursula Le Guin, for thousands of years more in the next day in California, where the people lived as American. In the theme of the Sun, Esperanto's Grammar is 16 menstruation."
Matagal ko nang pangarap na magbukas ng kainan.,1,,I have long dreamed of opening a meal.
Matagal ko nang pangarap na magbukas ng restawaran.,1,,I have long dreamed of opening a restaurant.
Matatapos ang talakayan bukas.,0,,The discussion will end tomorrow.
