Sentence,"taong - [0:'táong', 1:'taóng']",,
Ano ang nagawa mo sa mga taong ito?,0,,What have you done with these people?
Ano kaya ang itsura ng tango ng taong walang leeg?,0,,What does the tango of a person without a neck look like?
Anu-ano ang mga ginawa mo sa mga taong ito?,0,,What did you do with these people?
Anu-ano ang mga nagawa mo sa mga taong ito?,0,,What have you done during these years?
At ang taong iyon ay si Albert Einstein.,0,,And that person was Albert Einstein.
Ayaw ko ang mga taong may mga damdamin.,0,,I dont like people who has emotions.
Ayaw ko sa mga taong katulad 'nyo.,0,,I don't like people like you.
Ayaw ko sa mga taong katulad mo.,0,,I hate people like you.
Ayaw ko sa mga taong katulad ninyo.,0,,I hate people like you.
Ayaw ko sa mga taong matitigas ang ulo.,0,,I hate stubborn people.
Ayaw ko sa mga taong tinititigan ako.,0,,I don't like people staring at me.
Ayaw ni Tom na makita siya ng mga taong nakahubad.,0,,Tom doesn't want people to see him naked.
Bakit ginto ang isa sa mga ngipin ng taong iyon?,0,,Why is one of that person's teeth gold?
Bakit mahilig ang mga taong magpaduyan-duyan sa mga duyan?,0,,Why do people like to swing in hammocks?
Buong taong bukas ang tindahan.,1,,The store is open all year round.
Dapat makihalubilo ka sa mga taong sa tingin mo ay mapagkakatiwalaan.,0,,You should associate with people you feel you can trust.
Dapat umiwas ka sa mga taong di makabubuti sa iyo.,0,,You should avoid people who are not good for you.
Delikado ang mga taong iyon.,0,,Those people are dangerous.
Di siya naniniwalang may taong nakarating na sa buwan.,0,,He does not believe that someone has reached the moon.
Dumating ako sa bansang Hapon dalawang taong nakaraan.,1,,I came to Japan two years ago.
Dumating ako sa Tokyo tatlong taong nakalipas at mula noon dito na ako nakatira.,1,,I came to Tokyo three years ago and have been living here ever since.
Dumating ang mga taong may dala-dalang kamatis at itlog para ikondena ang ginawa ng alkalde.,0,,People came with tomatoes and eggs to condemn what the mayor did.
Galit ako sa mga taong katulad mo.,0,,I hate people like you.
Galit ako sa mga taong katulad ninyo.,0,,I hate people like you.
Gusto ko ang taong iyan.,0,,I like that person.
"Habang may mga taong gustong magkaroon ng mga bagong sapatos, ang iba ay gustong... magkaroon lamang ng mga paa.",0,,"While some people want to have new shoes, others want to... just have feet."
Halos animnapung taong gulang na siya.,1,,He was almost sixty years old.
Halos wala akong nakitang mga bubuyog sa taong ito.,1,,I saw almost no bees this year.
Higit animnapung taong gulang na siya.,1,,He is over sixty years old.
Higit na mas masaya ang mga taong palaging tumatawa kaysa sa mga taong hindi gaanong tumatawa.,0,,People who laugh all the time are much happier than people who don't laugh much.
Hinalikan ako sa pisngi ng pamangkin kong tatlong taong gulang.,1,,My three-year-old niece kissed me on the cheek.
Hinatulan siya ng hukom ng limang taong pagkakakulong.,1,,The judge sentenced him to five years in prison.
Hindi ako nakikihalubilo sa mga taong katulad ni Tom.,0,,I don't hang out with people like Tom.
Hindi ko naiintindihan ang mga taong naghahapunan ng almusal.,0,,I don't understand people who have breakfast for dinner.
Hindi mapagkakatiwalaan ang taong iyan.,0,,That person cannot be trusted.
Hindi mapagkakatiwalaan ang taong iyon.,0,,That person cannot be trusted.
Hindi mo kailangang maging henyo para maintindihang may taong nagmamahal sa iyo.,0,,You don't have to be a genius to understand that someone loves you.
Hindi mo puwedeng gisingin ang taong nagtutulugtulugan lang.,0,,You can't wake up a sleeping person.
"Hindi nakikisalamuha kahit kanino ang mga taong namumuno sa mundo, dahil sila ay mga matapobre at rasista.",0,,"The people who rule the world do not associate with anyone, because they are poor and racist."
Hindi niya pinapansin ang mga taong kumakausap sa kanya.,0,,He ignores people who talk to him.
Hindi niya pinapansin ang mga taong nakikipag-usap sa kanya.,0,,He ignores people who talk to him.
Hindi siya ang tipo ng taong magnanakaw.,0,,He is not the type of person to steal.
Huwag magtiwala sa mga taong pumupuri sa iyo sa iyong harapan.,0,,Do not trust people who praise you to your face.
Huwag magtiwala sa mga taong pumupuri sa iyo sa iyong presensiya.,0,,Do not trust people who praise you in your presence.
Ikaw ang nag-iisang taong kilala ko na kasing-edad ko.,0,,You are the only person I know who is my age.
Ikaw lang ang taong kilala ko maliban sa akin na mahilig gawin iyan.,0,,You're the only person I know besides me who likes to do that.
Ikaw lang ang taong kilala kong hindi umiinom ng tubig.,0,,You're the only person I know who doesn't drink water.
Ikinasal ang nanay ko noong siya ay 20 taong gulang.,1,,My mother got married when she was 20 years old.
Ikinasal siya sa edad na labing-anim na taong gulang.,1,,He got married at the age of sixteen.
"Ilang taon ka na? ""Ako'y 16 na taong gulang.""",1,,"How old are you? ""I'm 16 years old."""
Ilang taon ka na? Ako beintisais taong gulang.,1,,How old are you? I am twenty-six years old.
Ilang taong gulang ka na nang malaman mong hindi totoo si Santa Claus? Paano mo nalaman?,1,,How old were you when you learned Santa Claus wasn't real? How did you know?
Ilang taong pinag-awayan ang pagmamay-ari ng mga lupain.,1,,Several people fought over the ownership of the lands.
Ilang taong pinagtalunan ang pagmamay-ari ng mga lupain.,1,,Several people disputed the ownership of the lands.
Inaakusahan ang sarili ng taong nagpapalusot.,0,,The smuggler accuses himself.
Iniligtas ng doktor ang apat na taong nasaktan sa aksidente.,0,,The doctor saved four people who were injured in the accident.
Inisip ng huling taong pinagkuwentuhan ko ng ideya ko na baliw ako.,0,,The last person I told my idea to thought I was crazy.
Inumpisahan ko pong mag-aral ng Pranses noong labintatlong taong gulang ako.,1,,I started learning French when I was thirteen years old.
Inumpisahan kong mag-aral ng Pranses noong labintatlong taong gulang ako.,1,,I started learning French when I was thirteen years old.
Ipakita mo sa akin ang taong nagmamahal sa iyo.,0,,Show me the person who loves you.
"Ipinagdiwang ng tatay ko ang ikapitumpung kaarawan niya sa taong ito, pero mas masigla pa siya kaysa sa akin.",1,,"My father celebrated his seventieth birthday this year, but he is even more energetic than I am."
"Ipinanganak ako noong ika-14 ng Pebrero, taong 1960.",1,,"I was born on February 14th, year 1960."
Ipinanganak ako noong ika-22 ng Nobyembre taong 1948.,1,,I was born on the 22nd of November year 1948.
Ipinanganak ako noong taong 1988.,1,,I was born in the year 1988.
"Ipinanganak ako sa Osaka noong ikalima ng Marso, taong 1977.",1,,"I was born in Osaka on the fifth of March, year 1977."
Ipinanganak si Tom noong taong 2013.,1,,Tom was born in the year 2013.
Ipinanganak si Tom tatlong araw bago ang Pasko noong taong 2013.,1,,Tom was born three days before Christmas in the year 2013.
"Ipinanganak siya noong ika-14 ng Pebrero, taong 1960.",1,,"He was born on February 14th, year 1960."
Isa si Tom sa mga pinakagalanteng taong kilala ko.,0,,Tom is one of the bravest people I know.
Isa si Tom sa mga pinakamapagbigay na taong kilala ko.,0,,Tom is one of the most generous people I know.
Isa siyang taong mapagkakatiwalaan.,0,,He is a trustworthy person.
Isa siyang taong mataas ang katayuan sa lipunan.,0,,He is a person of high social status.
Isa siyang taong may mataas na katayuan sa lipunan.,0,,He is a person of high social status.
Isinaulo niya ang tulang iyan sa edad na limang taong gulang.,1,,He memorized that poem at the age of five.
"Isinilang ako noong ika-14 ng Pebrero, taong 1960.",1,,"I was born on February 14th, year 1960."
Isinilang ako noong ika-22 ng Nobyembre taong 1948.,1,,I was born on the 22nd of November in the year 1948.
"Isinilang ako sa Osaka noong ikalima ng Marso, taong 1977.",1,,"I was born in Osaka on the fifth of March, year 1977."
Isinilang si Tom noong taong 2013.,1,,Tom was born in the year 2013.
Isinilang si Tom tatlong araw bago ang Pasko noong taong 2013.,1,,Tom was born three days before Christmas in the year 2013.
"Isinilang siya noong ika-14 ng Pebrero, taong 1960.",1,,"He was born on the 14th of February, year 1960."
Isip ko'y ang mga taong parating takot ay inutil.,0,,I think people who are always afraid are useless.
Itinaksil ako ng taong itinuturing kong kaibigan.,0,,The person I considered my friend betrayed me.
Itinayo ang monumentong ito noong Pebro ng taong 1985.,1,,This monument was built in February of the year 1985.
Ito ang mga taong nakakita sa pagsabog.,0,,These are the people who saw the explosion.
Ito ang unang beses na nakakita siya ng taong nagsasalita ng Pranses.,0,,It was the first time he had seen someone who spoke French.
Itrinaydor ako ng taong itinuturing kong kaibigan.,0,,The person I consider my friend has trained me.
Ituro mo sa akin ang taong nagmamahal sa iyo.,0,,Show me the person who loves you.
Iyon ang unang beses na nakakita siya ng taong nagsasalita ng Pranses.,0,,It was the first time he had seen someone who spoke French.
Kabuhayan ang taong gumagawa.,0,,Livelihood is the man who works.
Kabuhayan ang taong lumilikha.,0,,Livelihood is the person who creates.
"Kahit gaanong magaling ka, palaging may taong higit na magaling kaysa sa iyo.",0,,"No matter how good you are, there will always be someone better than you."
"Kahit na dalawampung taong gulang na siya, masyado pa rin siyang mahiyain para makipag-usap sa mga babae.",1,,"Even though he was twenty years old, he was still too shy to talk to girls."
Kailangan ng mabilis na kabayo ng taong nagsasabi ng totoo.,0,,A swift horse needs a man who tells the truth.
Kailangan talaga ng mundo ng mga taong maaliwalas ang isip.,0,,The world really needs people with clear minds.
Kailangang mag-ingat ng taong maraming pag-aari.,0,,A person with many possessions needs to be careful.
Kailangang maging maingat ng taong maraming pag-aari.,0,,A person with many possessions needs to be careful.
Kailangang maging mapagmatyag ng taong maraming pag-aari.,0,,A person with many possessions needs to be careful.
Kakain nang mabagal ang taong malaki ng niyog na maliit.,0,,The big man will eat the small coconut slowly.
Kakain nang mabilis ang taong malaki ng niyog na maliit.,0,,The big man will quickly eat the small coconut.
Kakainin nang mabagal ng taong malaki ang niyog na maliit.,0,,A big person will eat a small coconut slowly.
Kakainin nang mabilis ng taong malaki ang niyog na maliit.,0,,The big person will quickly eat the small coconut.
Kakaunti lang ang mga taong may oportunidad na makapagtrabaho sa kung ano ang gusto nila.,0,,Few people have the opportunity to work at what they love.
Kakaunti na ang mga taong nagsasalita ng wika niya rito sa Tiyera.,0,,Few people speak his language here in Tiyera.
Kami ay naipit sa loob ng mataong tren.,0,,We were stuck inside a crowded train.
"Kapag tumingin ka sa paligid mo, makikita mong maraming mga taong pareho lang ang ginagawa.",0,,"When you look around you, you will see many people doing the same thing."
Kasama ka sa mga taong ipaglalaban ko.,0,,You are among the people I will fight for.
Kasama kayo sa mga taong ipaglalaban ko.,0,,You are among the people I will fight for.
Kilala ko ang taong kasama mong pumunta.,0,,I know the person you went with.
Kilala ko ang taong sinasabi mo.,0,,I know the person you are talking about.
Kilala ko ang taong tinutukoy mo.,0,,I know the person you are referring to.
"Kilala mo ang taong sinasabi ko, hindi ba?",0,,"You know the person I'm talking about, don't you?"
"Kilala mo ang taong tinutukoy ko, hindi ba?",0,,"You know the person I'm talking about, don't you?"
Kilala mo ba ang lahat ng mga taong ito?,0,,Do you know all these people?
Kinabisado niya ang tulang iyan sa edad na limang taong gulang.,1,,He memorized that poem at the age of five.
Kinain ng taong malaki ang niyog na maliit.,0,,The big man ate the small coconut.
Kinakain nang mabilis ng taong malaki ang niyog na maliit.,0,,The big man quickly eats the small coconut.
Kinamumuhian niya ang mga taong nagsisinungaling.,0,,He hates people who lie.
Kumain ang taong malaki ng niyog na maliit.,0,,The big man ate the small coconut.
Kumakain nang mabagal ang taong malaki ng niyog na maliit.,0,,The big man eats the small coconut slowly.
Kumakain nang mabilis ang taong malaki ng niyog na maliit.,0,,The big man eats the small coconut quickly.
"Kung gusto mong baguhin ang mundo, magsimula ka sa taong nakikita mo bawat umaga sa salamin.",0,,"If you want to change the world, start with the person you see in the mirror every morning."
"Kung hindi siya namatay sa gera, higit animnapung taong gulang na siya ngayon.",1,,"If he hadn't died in battle, he would have been over sixty years old by now."
"Kung hindi siya nasawi sa gera, higit animnapung taong gulang na siya ngayon.",1,,"If he hadn't died in the war, he would be over sixty years old now."
"Kung mapapagkamalan lang siyang labing-walong taong gulang, sasali siya sa hukbo.",1,,"If only he could be mistaken for eighteen years old, he would join the army."
"Kung sa pitumpung taong gulang ay gusto kong makipagtalik, may karapatan kong magkaroon ng lugar kung saan maipagkakaloob sa akin ang kasiyahang iyon.",1,,"If at seventy years of age I want to have sex, I have the right to have a place where that pleasure can be granted to me."
Labin-tatlong taong gulang na si Tom.,1,,Tom is thirteen years old.
Labindalawang taong gulang na ako.,1,,I am twelve years old.
"Labindalawang taong gulang pa lang ako, ano ba ito?",1,,"I'm only twelve years old, what is this?"
Labing-apat na taong gulang ako at ang lalim nito.,1,,I was fourteen years old and the depth of it.
Labing-walong taong gulang ang namatay.,1,,Eighteen years old died.
Labing-walong taong gulang ang pumanaw.,1,,Eighteen years old passed away.
Labing-walong taong gulang ang sumakabilang-buhay.,1,,Eighteen-year-olds took their lives.
Labing-walong taong gulang ang yumao.,1,,Eighteen years old passed away.
Labinlimang taong gulang ako sa retratong ito.,1,,I am fifteen years old in this picture.
Labintatlong taong gulang na ako.,1,,I am thirteen years old.
Lasing ang taong iyon.,0,,That person is drunk.
"Limampung taong gulang na ang tito ko, pero naglalaro pa rin siya ng isport.",1,,"My uncle is fifty years old, but he still plays sports."
Limang taong gulang na ang bunso nilang anak.,1,,Their youngest child is five years old.
Limang taong gulang na ang bunso niyang anak.,1,,His youngest child is five years old.
"Limang taong nag-aral si Ariel ng Aleman, pero nakalimutan na niya.",1,,"Ariel studied German for five years, but she forgot it."
Lumayas siya noong labintatlong taong gulang siya.,1,,He ran away when he was thirteen years old.
Madaling mabudol ang taong hindi wais.,0,,It is easy to fall for a person who is not wise.
Magaspang ang balat niya dahil sa mga taong nagtrabaho siya sa labas.,1,,His skin was rough because of the people he worked with outside.
Magiging maganda ang taong ito.,0,,This year will be good.
Magiging masagana ang taong ito.,0,,This year will be prosperous.
Maglalabing-anim na taong gulang na ako sa Mayo.,1,,I will be sixteen in May.
Maglalabintatlong taong gulang na ang kapatid ko sa susunod na tag-araw.,1,,My brother will be thirteen next summer.
Maglalabintatlong taong gulang na ang kapatid ko sa susunod na tag-init.,1,,My brother will be thirteen next summer.
Maglalabintatlong taong gulang na ang kapatid kong babae sa susunod na tag-araw.,1,,My sister will be thirteen next summer.
Maglalabintatlong taong gulang na ang kapatid kong babae sa susunod na tag-init.,1,,My sister will be thirteen next summer.
Mahilig pong tsumupa ng titi ang mga taong sipsip.,0,,Sucking people like to suck dick.
Mahilig tsumupa ng titi ang mga taong sipsip.,0,,Sucking people like to suck dick.
Mahina ang mga boses ng mga taong nasa loob ng opisina.,0,,The voices of the people inside the office were weak.
Mahirap tulungan ang taong di gusto ang tulong mo.,0,,It's hard to help someone who doesn't want your help.
Mali ang taong pinugutan nila ng ulo.,0,,The person they beheaded was wrong.
"Maliban kay Tom, may tatlo pa pong taong nasugatan.",0,,"Apart from Tom, there were three other people who were injured."
"Maliban kay Tom, may tatlo pang taong nasugatan.",0,,"Besides Tom, three other people were injured."
Marami pong mga riot noong taong iyon.,1,,There were many riots that year.
Marami pong taong nag-aaral ng Hapones para magbasa ng manga.,0,,Many people learn Japanese to read manga.
Marami pong taong tamad.,0,,There are many lazy people.
Maraming mga riot noong taong iyon.,1,,There were many riots that year.
Maraming mga taong mas gustong magluto gamit ang mantikilya sa halip ng mantika.,0,,Many people prefer to cook with butter instead of oil.
Maraming mga taong nagsasabi nito.,0,,Many people say this.
Maraming taong mag-aaral sa silid-aklatan.,0,,There are many students in the library.
Maraming taong nag-aaral ng Hapones para magbasa ng manga.,0,,Many people learn Japanese to read manga.
Maraming taong nagtipon.,0,,Many people gathered.
Maraming taong nakatira sa Estados Unidos ang nagsasalita ng Espanyol.,0,,Many people living in the United States speak Spanish.
Maraming taong pumupunta sa silid-aklatan para mag-aral.,0,,Many people go to the library to study.
Maraming taong tamad.,0,,Many people are lazy.
Maraming taong umiisip na ako'y luku-luko.,0,,A lot of people think I'm crazy.
Mas maraming Budista sa Aleman ngayon kaysa sa mga taong marunong gumawa ng tsokolateng keyk.,0,,There are more Buddhists in Germany today than people who know how to make chocolate cake.
Masyadong maraming alam ang taong ito.,0,,This guy knows too much.
Masyadong maraming nalalaman ang taong ito.,0,,This person knows too much.
May dalawampu't-siyam na araw ang Pebrero sa mga taong bisyesto.,1,,February has twenty-nine days in leap years.
May dalawang uri ng tao sa mundo: ang mga taong ipinagbubukod ang mga tao sa magkakaibang klase at ang mga taong hindi gumagawa nito.,0,,There are two kinds of people in the world: those who separate people into different classes and those who don't.
May ilan pong mga taong gustong magpanukala ng mga pag-aamyenda sa konstitusiyon.,0,,There are some people who want to propose amendments to the constitution.
May ilan pong mga taong gustong magpanukala ng mga pag-aamyenda sa saligang batas.,0,,There are some people who want to propose amendments to the constitution.
May ilang mga taong gustong magpanukala ng mga pag-aamyenda sa konstitusiyon.,0,,There are some people who want to propose constitutional amendments.
May ilang mga taong gustong magpanukala ng mga pag-aamyenda sa saligang batas.,0,,There are some people who want to propose amendments to the constitution.
May ilang taong nasaktan.,0,,Some people were hurt.
May labintatlong taong namatay.,0,,Thirteen people died.
"May mga nasusunog na kotse, may mga taong namatay at walang nakatulong sa kanila.",0,,"There were burning cars, there were people who died and nobody helped them."
"May mga nasusunog na sasakyan, may mga taong namatay at walang nakatulong sa kanila.",0,,"There were burning cars, there were people who died and nobody helped them."
"May mga panahong hindi makakalimutan, mga bagay na hindi maipapaliwanag at mga taong walang kahambing.",0,,"There are unforgettable moments, inexplicable things and incomparable people."
"May mga sandaling hindi makakalimutan, mga bagay na hindi maipapaliwanag at mga taong walang katulad.",0,,"There are moments that will never be forgotten, things that cannot be explained and people that are like no other."
"May mga taong gusto ng beysbol; ang iba, ng saker.",0,,"Some people like baseball; others, of saker."
May mga taong gusto pong itama ang konstitusyon.,0,,There are people who want to correct the constitution.
May mga taong gustong itama ang konstitusyon.,0,,There are people who want to correct the constitution.
May mga taong gustong ituwid ang konstitusyon.,0,,There are people who want to amend the constitution.
May mga taong hindi mahilig sa aso.,0,,Some people don't like dogs.
May mga taong hindi nagtatanda kailanman.,0,,Some people never grow old.
May mga taong hirap umintindi ng mga ekspresyon ng mukha.,0,,Some people have difficulty understanding facial expressions.
May mga taong mas magaling lumangoy kaysa sa iba.,0,,Some people are better swimmers than others.
May mga taong mas mahusay lumangoy kaysa sa iba.,0,,Some people swim better than others.
"May mga taong nag-ebolb mula sa mga bakulaw, at may ilang hindi pa rin.",0,,"Some people evolved from gorillas, and some still haven't."
May mga taong nagsasabi na nilason si Mary.,0,,Some people say that Mary was poisoned.
May mga taong nagsasabing mapagmataas daw ako.,0,,Some people say that I am proud.
May mga taong nagsasabing mayabang daw ako.,0,,Some people say I'm arrogant.
May mga taong naniniwalang tumutubo sa ilalim ng lupa ang mga pinya.,0,,Some people believe that pineapples grow underground.
May mga taong nasaktan.,0,,Some people were hurt.
May nahanap akong talaarawang tatlumpung taong itinago ng tatay ko.,1,,I found a diary that my father kept for thirty years.
May nakita akong mga taong lumalangoy sa ilog.,0,,I saw people swimming in the river.
May nakita akong taong pumasok sa kuwarto.,0,,I saw someone enter the room.
May nakita si Ziri na grupo ng mga taong nakaupo nang paikot at nagdadasal.,0,,Ziri saw a group of people sitting in a circle and praying.
May taong dumadaldal dahil lamang may bunganga sila.,0,,Some people talk just because they have a mouth.
May taong naghihintay sa labas.,0,,Someone is waiting outside.
May taong naniniwala na sakit ang tumatanda.,0,,Some people believe that aging is a disease.
May taong walang budhi ng rasa.,0,,There are people who have no racial conscience.
"Mayaman siya, ngunit ang buhay niya'y parang taong nagpapalimos.",0,,"He is rich, but his life is like that of a beggar."
Mayroon pong dalawampu't-siyam na araw ang Pebrero sa mga taong bisyesto.,1,,February has twenty-nine days in leap years.
Mayroon pong mga taong naniniwalang tumutubo sa ilalim ng lupa ang mga pinya.,0,,There are people who believe that pineapples grow underground.
Mayroon pong taong naghihintay sa labas.,0,,There is already someone waiting outside.
Mayroong dalawampu't-siyam na araw ang Pebrero sa mga taong bisyesto.,0,,February has twenty-nine days in leap years.
Mayroong mga taong naniniwalang tumutubo sa ilalim ng lupa ang mga pinya.,0,,There are people who believe that pineapples grow underground.
Mayroong taong naghihintay sa labas.,0,,There is someone waiting outside.
Mukhang 19 taong gulang iyong mestiza na iyon.,1,,That mestiza looks like 19 years old.
Nag-umpisa akong mag-aral ng Pranses noong labintatlong taong gulang ako.,1,,I started learning French when I was thirteen years old.
Nag-umpisa siyang mag-aral ng Ingles sa edad na labing-isang taong gulang.,1,,He started studying English at the age of eleven.
Nagbangka ang mga taong papuntang bangko.,0,,People went by boat to the bank.
Naghahanap kami ng taong matatas sa Pranses.,0,,We are looking for someone fluent in French.
Naghahanap si Mary ng taong katulad ni Tom.,0,,Mary is looking for someone like Tom.
Naghiwalay sila pagkatapos ng dalawampung taong pagsasama.,1,,They separated after twenty years of marriage.
Naglakad sina Tom at Mary sa mataong bangketa.,0,,Tom and Mary walked down the busy sidewalk.
Naglayas siya noong labintatlong taong gulang siya.,1,,He ran away when he was thirteen years old.
Nagpakamatay si Osamu Dazai sa edad na tatlumpu't-siyam na taong gulang.,1,,Osamu Dazai committed suicide at the age of thirty-nine.
Nagpakasal siya sa edad na labing-anim na taong gulang.,1,,He got married at the age of sixteen.
Nagsimula akong mag-aral ng Pranses noong labintatlong taong gulang ako.,1,,I started learning French when I was thirteen years old.
Nagsimula siyang mag-aral ng Ingles sa edad na labing-isang taong gulang.,1,,He started studying English at the age of eleven.
Nagsisimula nang humina ang pandinig ko sa edad na limampung taong gulang.,1,,My hearing started to fail at the age of fifty.
Nagtatag ng ilang mga pamantayan ang taong-bayan.,0,,The townspeople established certain standards.
Naiinggit ako sa mga taong kain lang ng kain at hindi tumataba.,0,,I envy people who just eat food and don't gain weight.
Nakainom ang taong iyon.,0,,That person has been drinking.
Nakakaaburido ang taong parating pinag-uusapan ang sarili.,0,,A person who always talks about himself is boring.
Nakakainis ang mga taong palaging nagtatampo.,0,,People who are always sulking are annoying.
Nakapagtrabaho siya hanggang 75 taong gulang dahil sa kanyang malusog na katawan.,1,,He was able to work until he was 75 years old because of his healthy body.
Nakarinig ka na ba ng taong nagsasalita ng Esperanto?,0,,Have you ever heard someone speak Esperanto?
Nakatira ako sa isang bahay na itinayo noong taong 2013.,1,,I live in a house that was built in the year 2013.
Nakita ko 'yong taong pumasok sa silid.,0,,I saw the person who entered the room.
Nakita ng pulis ang taong pumatay sa kanya.,0,,The police found the person who killed him.
Namatay ang kanyang ina noong labing-isang taong gulang siya.,1,,His mother died when he was eleven years old.
Namatay ang tatay ko noong labintatlong taong gulang ako.,1,,My father died when I was thirteen years old.
"Namatay si Dmitri Mendeleev noong ikalawa ng Pebrero, taong 1907.",1,,"Dmitri Mendeleev died on February 2, 1907."
Namatay si Niels Bohr noong ika-18 ng Nobyembre taong 1962.,1,,"Niels Bohr died on November 18, 1962."
Namit ko ang mga taong mabait.,0,,I like nice people.
Napapalibutan ako ng mga taong hindi tapat.,0,,I was surrounded by dishonest people.
Nasa Hokkaido ka ba isang taong nakalipas?,1,,Were you in Hokkaido a year ago?
Natuto akong magbisikleta noong anim na taong gulang ako.,1,,I learned to ride a bicycle when I was six years old.
Natuto akong magmotor noong labing-anim na taong gulang ako.,1,,I learned to ride a motorcycle when I was sixteen years old.
Natuto akong magmotorsiklo noong labing-anim na taong gulang ako.,1,,I learned to ride a motorcycle when I was sixteen years old.
Natuto pong sumisid si Tom noong limang taong gulang siya.,1,,Tom learned to dive when he was five years old.
Natutong sumisid si Tom noong limang taong gulang siya.,1,,Tom learned to dive when he was five years old.
Natutunan ni Tom na sumisid noong limang taong gulang siya.,1,,Tom learned to dive when he was five years old.
